metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2009,"Albany County",NY,us-ny-001,0.11800012725435
Metropolitan,2009,"Bronx County",NY,us-ny-005,0.28299991370402
Metropolitan,2009,"Broome County",NY,us-ny-007,0.16300017322016
Metropolitan,2009,"Chemung County",NY,us-ny-015,0.15799992776045
Metropolitan,2009,"Dutchess County",NY,us-ny-027,0.08899991348733
Metropolitan,2009,"Erie County",NY,us-ny-029,0.13900000797097
Metropolitan,2009,"Herkimer County",NY,us-ny-043,0.1409990697978
Metropolitan,2009,"Jefferson County",NY,us-ny-045,0.16500058590757
Metropolitan,2009,"Kings County",NY,us-ny-047,0.21699995980147
Metropolitan,2009,"Livingston County",NY,us-ny-051,0.11499920470813
Metropolitan,2009,"Madison County",NY,us-ny-053,0.11299950513423
Metropolitan,2009,"Monroe County",NY,us-ny-055,0.13400001985312
Metropolitan,2009,"Nassau County",NY,us-ny-059,0.055
Metropolitan,2009,"New York County",NY,us-ny-061,0.1659999670974
Metropolitan,2009,"Niagara County",NY,us-ny-063,0.13899987203367
Metropolitan,2009,"Oneida County",NY,us-ny-065,0.14400029500701
Metropolitan,2009,"Onondaga County",NY,us-ny-067,0.1370000698612
Metropolitan,2009,"Ontario County",NY,us-ny-069,0.07799992228181
Metropolitan,2009,"Orange County",NY,us-ny-071,0.11699996494908
Metropolitan,2009,"Orleans County",NY,us-ny-073,0.12800040683483
Metropolitan,2009,"Oswego County",NY,us-ny-075,0.14699943043546
Metropolitan,2009,"Putnam County",NY,us-ny-079,0.06099994882555
Metropolitan,2009,"Queens County",NY,us-ny-081,0.12899999956082
Metropolitan,2009,"Rensselaer County",NY,us-ny-083,0.11000019877159
Metropolitan,2009,"Richmond County",NY,us-ny-085,0.11400007407011
Metropolitan,2009,"Rockland County",NY,us-ny-087,0.1160000270625
Metropolitan,2009,"Saratoga County",NY,us-ny-091,0.06300008383245
Metropolitan,2009,"Schenectady County",NY,us-ny-093,0.11600021592734
Metropolitan,2009,"Schoharie County",NY,us-ny-095,0.11899986629229
Metropolitan,2009,"Suffolk County",NY,us-ny-103,0.05699999327473
Metropolitan,2009,"Tioga County",NY,us-ny-107,0.11300106813922
Metropolitan,2009,"Tompkins County",NY,us-ny-109,0.1879991002137
Metropolitan,2009,"Ulster County",NY,us-ny-111,0.125
Metropolitan,2009,"Warren County",NY,us-ny-113,0.10899932010631
Metropolitan,2009,"Washington County",NY,us-ny-115,0.13999966097673
Metropolitan,2009,"Wayne County",NY,us-ny-117,0.10999944662719
Metropolitan,2009,"Westchester County",NY,us-ny-119,0.09100000214597
Metropolitan,2009,"Yates County",NY,us-ny-123,0.1379983514815
Metropolitan,2010,"Albany County",NY,us-ny-001,0.13200017996878
Metropolitan,2010,"Bronx County",NY,us-ny-005,0.29999992584831
Metropolitan,2010,"Broome County",NY,us-ny-007,0.16500042006217
Metropolitan,2010,"Chemung County",NY,us-ny-015,0.15600062213608
Metropolitan,2010,"Dutchess County",NY,us-ny-027,0.08200002849449
Metropolitan,2010,"Erie County",NY,us-ny-029,0.14300007515162
Metropolitan,2010,"Herkimer County",NY,us-ny-043,0.15600063331222
Metropolitan,2010,"Jefferson County",NY,us-ny-045,0.14300057891309
Metropolitan,2010,"Kings County",NY,us-ny-047,0.229000001209
Metropolitan,2010,"Livingston County",NY,us-ny-051,0.13500008384057
Metropolitan,2010,"Madison County",NY,us-ny-053,0.11499941431416
Metropolitan,2010,"Monroe County",NY,us-ny-055,0.15099999446293
Metropolitan,2010,"Nassau County",NY,us-ny-059,0.06200002135276
Metropolitan,2010,"New York County",NY,us-ny-061,0.16600003388554
Metropolitan,2010,"Niagara County",NY,us-ny-063,0.14100019330596
Metropolitan,2010,"Oneida County",NY,us-ny-065,0.15099966265602
Metropolitan,2010,"Onondaga County",NY,us-ny-067,0.14099998220989
Metropolitan,2010,"Ontario County",NY,us-ny-069,0.10099975338152
Metropolitan,2010,"Orange County",NY,us-ny-071,0.11399994458759
Metropolitan,2010,"Orleans County",NY,us-ny-073,0.14000148254306
Metropolitan,2010,"Oswego County",NY,us-ny-075,0.16900039227056
Metropolitan,2010,"Putnam County",NY,us-ny-079,0.0620001024118
Metropolitan,2010,"Queens County",NY,us-ny-081,0.15100000996703
Metropolitan,2010,"Rensselaer County",NY,us-ny-083,0.13500022777709
Metropolitan,2010,"Richmond County",NY,us-ny-085,0.12099996982329
Metropolitan,2010,"Rockland County",NY,us-ny-087,0.11599992173845
Metropolitan,2010,"Saratoga County",NY,us-ny-091,0.07
Metropolitan,2010,"Schenectady County",NY,us-ny-093,0.12
Metropolitan,2010,"Schoharie County",NY,us-ny-095,0.13299798148089
Metropolitan,2010,"Suffolk County",NY,us-ny-103,0.06599998213747
Metropolitan,2010,"Tioga County",NY,us-ny-107,0.09799972355508
Metropolitan,2010,"Tompkins County",NY,us-ny-109,0.19599891557283
Metropolitan,2010,"Ulster County",NY,us-ny-111,0.125
Metropolitan,2010,"Warren County",NY,us-ny-113,0.10400036841459
Metropolitan,2010,"Washington County",NY,us-ny-115,0.12
Metropolitan,2010,"Wayne County",NY,us-ny-117,0.10600052008842
Metropolitan,2010,"Westchester County",NY,us-ny-119,0.08999997832397
Metropolitan,2010,"Yates County",NY,us-ny-123,0.17000207168013
Metropolitan,2011,"Albany County",NY,us-ny-001,0.13600005557118
Metropolitan,2011,"Bronx County",NY,us-ny-005,0.30300000590291
Metropolitan,2011,"Broome County",NY,us-ny-007,0.17500039596433
Metropolitan,2011,"Chemung County",NY,us-ny-015,0.16400009566174
Metropolitan,2011,"Dutchess County",NY,us-ny-027,0.1009999180687
Metropolitan,2011,"Erie County",NY,us-ny-029,0.15300007849206
Metropolitan,2011,"Herkimer County",NY,us-ny-043,0.16899924995611
Metropolitan,2011,"Jefferson County",NY,us-ny-045,0.17400017893889
Metropolitan,2011,"Kings County",NY,us-ny-047,0.23600002864648
Metropolitan,2011,"Livingston County",NY,us-ny-051,0.13499983200618
Metropolitan,2011,"Madison County",NY,us-ny-053,0.11900085021549
Metropolitan,2011,"Monroe County",NY,us-ny-055,0.1639999223413
Metropolitan,2011,"Nassau County",NY,us-ny-059,0.06999999247975
Metropolitan,2011,"New York County",NY,us-ny-061,0.1840000051454
Metropolitan,2011,"Niagara County",NY,us-ny-063,0.12900018465122
Metropolitan,2011,"Oneida County",NY,us-ny-065,0.17099976471866
Metropolitan,2011,"Onondaga County",NY,us-ny-067,0.15600010668042
Metropolitan,2011,"Ontario County",NY,us-ny-069,0.10699995247826
Metropolitan,2011,"Orange County",NY,us-ny-071,0.1390000715729
Metropolitan,2011,"Orleans County",NY,us-ny-073,0.14499938034453
Metropolitan,2011,"Oswego County",NY,us-ny-075,0.19299999145715
Metropolitan,2011,"Putnam County",NY,us-ny-079,0.05899985822211
Metropolitan,2011,"Queens County",NY,us-ny-081,0.16
Metropolitan,2011,"Rensselaer County",NY,us-ny-083,0.12000026070011
Metropolitan,2011,"Richmond County",NY,us-ny-085,0.125
Metropolitan,2011,"Rockland County",NY,us-ny-087,0.1410000257805
Metropolitan,2011,"Saratoga County",NY,us-ny-091,0.071
Metropolitan,2011,"Schenectady County",NY,us-ny-093,0.14099996046545
Metropolitan,2011,"Schoharie County",NY,us-ny-095,0.11399832355407
Metropolitan,2011,"Suffolk County",NY,us-ny-103,0.06900000204233
Metropolitan,2011,"Tioga County",NY,us-ny-107,0.10899976222557
Metropolitan,2011,"Tompkins County",NY,us-ny-109,0.2
Metropolitan,2011,"Ulster County",NY,us-ny-111,0.14500014330343
Metropolitan,2011,"Warren County",NY,us-ny-113,0.13900101685514
Metropolitan,2011,"Washington County",NY,us-ny-115,0.14100006649378
Metropolitan,2011,"Wayne County",NY,us-ny-117,0.12799939115214
Metropolitan,2011,"Westchester County",NY,us-ny-119,0.1
Metropolitan,2011,"Yates County",NY,us-ny-123,0.1510009061702
Metropolitan,2012,"Albany County",NY,us-ny-001,0.13800019920387
Metropolitan,2012,"Bronx County",NY,us-ny-005,0.30800004079201
Metropolitan,2012,"Broome County",NY,us-ny-007,0.17299981920471
Metropolitan,2012,"Chemung County",NY,us-ny-015,0.15400042976864
Metropolitan,2012,"Dutchess County",NY,us-ny-027,0.09799984942405
Metropolitan,2012,"Erie County",NY,us-ny-029,0.14099994272951
Metropolitan,2012,"Herkimer County",NY,us-ny-043,0.13199936728883
Metropolitan,2012,"Jefferson County",NY,us-ny-045,0.15300057855152
Metropolitan,2012,"Kings County",NY,us-ny-047,0.24200004719504
Metropolitan,2012,"Livingston County",NY,us-ny-051,0.13100089622402
Metropolitan,2012,"Madison County",NY,us-ny-053,0.13200053351512
Metropolitan,2012,"Monroe County",NY,us-ny-055,0.14800001101467
Metropolitan,2012,"Nassau County",NY,us-ny-059,0.06899999470581
Metropolitan,2012,"New York County",NY,us-ny-061,0.17799995274383
Metropolitan,2012,"Niagara County",NY,us-ny-063,0.1470002371354
Metropolitan,2012,"Oneida County",NY,us-ny-065,0.16499979663131
