metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,1999,"Fairbanks North Star Borough",AK,us-ak-090,4
Metropolitan,1999,"Matanuska-Susitna Borough",AK,us-ak-170,8
Metropolitan,1999,"Autauga County",AL,us-al-001,2
Metropolitan,1999,"Baldwin County",AL,us-al-003,6
Metropolitan,1999,"Bibb County",AL,us-al-007,2
Metropolitan,1999,"Blount County",AL,us-al-009,4
Metropolitan,1999,"Calhoun County",AL,us-al-015,4
Metropolitan,1999,"Chilton County",AL,us-al-021,4
Metropolitan,1999,"Colbert County",AL,us-al-033,2
Metropolitan,1999,"Elmore County",AL,us-al-051,2
Metropolitan,1999,"Etowah County",AL,us-al-055,6
Metropolitan,1999,"Geneva County",AL,us-al-061,2
Metropolitan,1999,"Hale County",AL,us-al-065,0
Metropolitan,1999,"Henry County",AL,us-al-067,0
Metropolitan,1999,"Houston County",AL,us-al-069,2
Metropolitan,1999,"Jefferson County",AL,us-al-073,6
Metropolitan,1999,"Lauderdale County",AL,us-al-077,2
Metropolitan,1999,"Lawrence County",AL,us-al-079,4
Metropolitan,1999,"Lee County",AL,us-al-081,2
Metropolitan,1999,"Limestone County",AL,us-al-083,2
Metropolitan,1999,"Lowndes County",AL,us-al-085,0
Metropolitan,1999,"Madison County",AL,us-al-089,2
Metropolitan,1999,"Mobile County",AL,us-al-097,6
Metropolitan,1999,"Montgomery County",AL,us-al-101,2
Metropolitan,1999,"Morgan County",AL,us-al-103,4
Metropolitan,1999,"Pickens County",AL,us-al-107,2
Metropolitan,1999,"Russell County",AL,us-al-113,4
Metropolitan,1999,"Shelby County",AL,us-al-117,4
Metropolitan,1999,"St. Clair County",AL,us-al-115,4
Metropolitan,1999,"Tuscaloosa County",AL,us-al-125,4
Metropolitan,1999,"Walker County",AL,us-al-127,10
Metropolitan,1999,"Benton County",AR,us-ar-007,4
Metropolitan,1999,"Cleveland County",AR,us-ar-025,0
Metropolitan,1999,"Craighead County",AR,us-ar-031,6
Metropolitan,1999,"Crawford County",AR,us-ar-033,6
Metropolitan,1999,"Crittenden County",AR,us-ar-035,2
Metropolitan,1999,"Faulkner County",AR,us-ar-045,4
Metropolitan,1999,"Garland County",AR,us-ar-051,8
Metropolitan,1999,"Grant County",AR,us-ar-053,2
Metropolitan,1999,"Jefferson County",AR,us-ar-069,2
Metropolitan,1999,"Lincoln County",AR,us-ar-079,0
Metropolitan,1999,"Little River County",AR,us-ar-081,2
Metropolitan,1999,"Lonoke County",AR,us-ar-085,2
Metropolitan,1999,"Madison County",AR,us-ar-087,0
Metropolitan,1999,"Miller County",AR,us-ar-091,2
Metropolitan,1999,"Perry County",AR,us-ar-105,2
Metropolitan,1999,"Poinsett County",AR,us-ar-111,6
