metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2008,"Anchorage Municipality",AK,us-ak-020,0.19966749518526
Metropolitan,2008,"Fairbanks North Star Borough",AK,us-ak-090,0.20761553517413
Metropolitan,2008,"Matanuska-Susitna Borough",AK,us-ak-170,0.27309336692153
Metropolitan,2008,"Autauga County",AL,us-al-001,0.15760383386581
Metropolitan,2008,"Baldwin County",AL,us-al-003,0.19541639705243
Metropolitan,2008,"Bibb County",AL,us-al-007,0.21672272945699
Metropolitan,2008,"Blount County",AL,us-al-009,0.23358263924302
Metropolitan,2008,"Calhoun County",AL,us-al-015,0.18712909101592
Metropolitan,2008,"Chilton County",AL,us-al-021,0.2274741506647
Metropolitan,2008,"Colbert County",AL,us-al-033,0.18518074096295
Metropolitan,2008,"Elmore County",AL,us-al-051,0.18478309833776
Metropolitan,2008,"Etowah County",AL,us-al-055,0.20035996657453
Metropolitan,2008,"Geneva County",AL,us-al-061,0.21268656716418
Metropolitan,2008,"Hale County",AL,us-al-065,0.20719494409334
Metropolitan,2008,"Henry County",AL,us-al-067,0.19490180519738
Metropolitan,2008,"Houston County",AL,us-al-069,0.18471196328961
Metropolitan,2008,"Jefferson County",AL,us-al-073,0.16901320831716
Metropolitan,2008,"Lauderdale County",AL,us-al-077,0.18523942826421
Metropolitan,2008,"Lawrence County",AL,us-al-079,0.19719544259422
Metropolitan,2008,"Lee County",AL,us-al-081,0.147503142498
Metropolitan,2008,"Limestone County",AL,us-al-083,0.18373948673711
Metropolitan,2008,"Lowndes County",AL,us-al-085,0.19234787150692
Metropolitan,2008,"Madison County",AL,us-al-089,0.15678256686353
Metropolitan,2008,"Mobile County",AL,us-al-097,0.20431791144234
Metropolitan,2008,"Montgomery County",AL,us-al-101,0.15851646233326
Metropolitan,2008,"Morgan County",AL,us-al-103,0.19100473063616
Metropolitan,2008,"Pickens County",AL,us-al-107,0.20117983863972
Metropolitan,2008,"Russell County",AL,us-al-113,0.21319847454817
Metropolitan,2008,"Shelby County",AL,us-al-117,0.12331210405432
Metropolitan,2008,"St. Clair County",AL,us-al-115,0.19227319062181
Metropolitan,2008,"Tuscaloosa County",AL,us-al-125,0.16111575960419
Metropolitan,2008,"Walker County",AL,us-al-127,0.20468986021531
Metropolitan,2008,"Benton County",AR,us-ar-007,0.23902568516567
Metropolitan,2008,"Cleveland County",AR,us-ar-025,0.26585643752374
Metropolitan,2008,"Craighead County",AR,us-ar-031,0.23940700241825
Metropolitan,2008,"Crawford County",AR,us-ar-033,0.25002048452735
Metropolitan,2008,"Crittenden County",AR,us-ar-035,0.24420505915168
Metropolitan,2008,"Faulkner County",AR,us-ar-045,0.20517074519563
Metropolitan,2008,"Garland County",AR,us-ar-051,0.28129911905545
Metropolitan,2008,"Grant County",AR,us-ar-053,0.23021582733813
Metropolitan,2008,"Jefferson County",AR,us-ar-069,0.24001169143602
Metropolitan,2008,"Lincoln County",AR,us-ar-079,0.28342857142857
Metropolitan,2008,"Little River County",AR,us-ar-081,0.23654408957883
Metropolitan,2008,"Lonoke County",AR,us-ar-085,0.24338442673207
Metropolitan,2008,"Madison County",AR,us-ar-087,0.29374671571203
Metropolitan,2008,"Miller County",AR,us-ar-091,0.25617573483427
Metropolitan,2008,"Perry County",AR,us-ar-105,0.28135484901741
Metropolitan,2008,"Poinsett County",AR,us-ar-111,0.27420777634525
Metropolitan,2008,"Pulaski County",AR,us-ar-119,0.19471499141646
Metropolitan,2008,"Saline County",AR,us-ar-125,0.21743364584709
Metropolitan,2008,"Sebastian County",AR,us-ar-131,0.25801969678395
Metropolitan,2008,"Washington County",AR,us-ar-143,0.26947638362777
Metropolitan,2008,"Cochise County",AZ,us-az-003,0.20024068423088
Metropolitan,2008,"Coconino County",AZ,us-az-005,0.25966286599945
Metropolitan,2008,"Maricopa County",AZ,us-az-013,0.22743575290704
Metropolitan,2008,"Mohave County",AZ,us-az-015,0.24094684385382
Metropolitan,2008,"Pima County",AZ,us-az-019,0.20682219075302
Metropolitan,2008,"Pinal County",AZ,us-az-021,0.23605320951929
Metropolitan,2008,"Yavapai County",AZ,us-az-025,0.24261803317868
Metropolitan,2008,"Yuma County",AZ,us-az-027,0.28202033426754
Metropolitan,2008,"Alameda County",CA,us-ca-001,0.15720650819769
Metropolitan,2008,"Butte County",CA,us-ca-007,0.21720559548068
Metropolitan,2008,"Contra Costa County",CA,us-ca-013,0.14306703873963
Metropolitan,2008,"El Dorado County",CA,us-ca-017,0.16744312347785
Metropolitan,2008,"Fresno County",CA,us-ca-019,0.26567297648798
Metropolitan,2008,"Imperial County",CA,us-ca-025,0.29948539290024
Metropolitan,2008,"Kern County",CA,us-ca-029,0.25200131377272
Metropolitan,2008,"Kings County",CA,us-ca-031,0.27154900883271
Metropolitan,2008,"Los Angeles County",CA,us-ca-037,0.28742507820329
Metropolitan,2008,"Madera County",CA,us-ca-039,0.30799395596489
Metropolitan,2008,"Marin County",CA,us-ca-041,0.12952441213311
Metropolitan,2008,"Merced County",CA,us-ca-047,0.280892885955
Metropolitan,2008,"Monterey County",CA,us-ca-053,0.28574064676846
Metropolitan,2008,"Napa County",CA,us-ca-055,0.1876770972609
Metropolitan,2008,"Orange County",CA,us-ca-059,0.21940819779889
Metropolitan,2008,"Placer County",CA,us-ca-061,0.13543459452419
Metropolitan,2008,"Riverside County",CA,us-ca-065,0.26794056958787
Metropolitan,2008,"Sacramento County",CA,us-ca-067,0.17558588447504
Metropolitan,2008,"San Benito County",CA,us-ca-069,0.23421364985163
Metropolitan,2008,"San Bernardino County",CA,us-ca-071,0.25473947062308
Metropolitan,2008,"San Diego County",CA,us-ca-073,0.21512408632751
Metropolitan,2008,"San Francisco County",CA,us-ca-075,0.1415742513836
Metropolitan,2008,"San Joaquin County",CA,us-ca-077,0.22616317939829
Metropolitan,2008,"San Luis Obispo County",CA,us-ca-079,0.195329151696
