metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2011,"Albany County",NY,us-ny-001,0.0760019431625
Metropolitan,2011,"Bronx County",NY,us-ny-005,0.29100302709054
Metropolitan,2011,"Broome County",NY,us-ny-007,0.1249951066745
Metropolitan,2011,"Chemung County",NY,us-ny-015,0.14505306819568
Metropolitan,2011,"Dutchess County",NY,us-ny-027,0.11899027182583
Metropolitan,2011,"Erie County",NY,us-ny-029,0.11400473310544
Metropolitan,2011,"Herkimer County",NY,us-ny-043,0.13507816616898
Metropolitan,2011,"Jefferson County",NY,us-ny-045,0.10900600400267
Metropolitan,2011,"Kings County",NY,us-ny-047,0.19299989214009
Metropolitan,2011,"Livingston County",NY,us-ny-051,0.09202328669186
Metropolitan,2011,"Madison County",NY,us-ny-053,0.05198901210703
Metropolitan,2011,"Monroe County",NY,us-ny-055,0.12800541003997
Metropolitan,2011,"Nassau County",NY,us-ny-059,0.0959973530306
Metropolitan,2011,"New York County",NY,us-ny-061,0.12499786615378
Metropolitan,2011,"Niagara County",NY,us-ny-063,0.13798935482266
Metropolitan,2011,"Oneida County",NY,us-ny-065,0.14501199862873
Metropolitan,2011,"Onondaga County",NY,us-ny-067,0.11899591086068
Metropolitan,2011,"Ontario County",NY,us-ny-069,0.10096847310942
Metropolitan,2011,"Orange County",NY,us-ny-071,0.15901275651692
Metropolitan,2011,"Orleans County",NY,us-ny-073,0.24209752511639
Metropolitan,2011,"Oswego County",NY,us-ny-075,0.10099403578529
Metropolitan,2011,"Putnam County",NY,us-ny-079,0.11001390820584
Metropolitan,2011,"Queens County",NY,us-ny-081,0.1700019300748
Metropolitan,2011,"Rensselaer County",NY,us-ny-083,0.1170006105345
Metropolitan,2011,"Richmond County",NY,us-ny-085,0.12199221718207
Metropolitan,2011,"Rockland County",NY,us-ny-087,0.16001760046935
Metropolitan,2011,"Saratoga County",NY,us-ny-091,0.11698156549704
Metropolitan,2011,"Schenectady County",NY,us-ny-093,0.13000922051209
Metropolitan,2011,"Schoharie County",NY,us-ny-095,0.10491637100862
Metropolitan,2011,"Suffolk County",NY,us-ny-103,0.12100182706407
Metropolitan,2011,"Tioga County",NY,us-ny-107,0.16292858984274
Metropolitan,2011,"Tompkins County",NY,us-ny-109,0.02299226326686
Metropolitan,2011,"Ulster County",NY,us-ny-111,0.12298375997798
Metropolitan,2011,"Warren County",NY,us-ny-113,0.15306718597858
Metropolitan,2011,"Washington County",NY,us-ny-115,0.20893023255814
Metropolitan,2011,"Wayne County",NY,us-ny-117,0.18094020735691
Metropolitan,2011,"Westchester County",NY,us-ny-119,0.14900345085484
Metropolitan,2011,"Yates County",NY,us-ny-123,0.18602071005917
Metropolitan,2017,"Albany County",NY,us-ny-001,0.06431375989822
Metropolitan,2017,"Bronx County",NY,us-ny-005,0.2253473104748
Metropolitan,2017,"Broome County",NY,us-ny-007,0.09680896938335
Metropolitan,2017,"Chemung County",NY,us-ny-015,0.15551004735697
Metropolitan,2017,"Dutchess County",NY,us-ny-027,0.10471663841124
Metropolitan,2017,"Erie County",NY,us-ny-029,0.09771573604061
Metropolitan,2017,"Herkimer County",NY,us-ny-043,0.15158967152644
Metropolitan,2017,"Jefferson County",NY,us-ny-045,0.08039332934689
Metropolitan,2017,"Kings County",NY,us-ny-047,0.14199982274816
Metropolitan,2017,"Livingston County",NY,us-ny-051,0.07093355075418
Metropolitan,2017,"Madison County",NY,us-ny-053,0.05538968392876
Metropolitan,2017,"Monroe County",NY,us-ny-055,0.10823913621347
Metropolitan,2017,"Nassau County",NY,us-ny-059,0.08358935286455
Metropolitan,2017,"New York County",NY,us-ny-061,0.09234697496276
Metropolitan,2017,"Niagara County",NY,us-ny-063,0.10886330023241
Metropolitan,2017,"Oneida County",NY,us-ny-065,0.15345324369161
Metropolitan,2017,"Onondaga County",NY,us-ny-067,0.09879459688655
Metropolitan,2017,"Ontario County",NY,us-ny-069,0.09572104703951
Metropolitan,2017,"Orange County",NY,us-ny-071,0.11474716304997
Metropolitan,2017,"Orleans County",NY,us-ny-073,0.1966053748232
Metropolitan,2017,"Oswego County",NY,us-ny-075,0.0882945067587
Metropolitan,2017,"Putnam County",NY,us-ny-079,0.11048464491363
Metropolitan,2017,"Queens County",NY,us-ny-081,0.11752471138799
Metropolitan,2017,"Rensselaer County",NY,us-ny-083,0.07840700633174
Metropolitan,2017,"Richmond County",NY,us-ny-085,0.11210826210826
Metropolitan,2017,"Rockland County",NY,us-ny-087,0.14890395628991
Metropolitan,2017,"Saratoga County",NY,us-ny-091,0.12111751944547
Metropolitan,2017,"Schenectady County",NY,us-ny-093,0.14505733089083
Metropolitan,2017,"Schoharie County",NY,us-ny-095,0.07982622861797
Metropolitan,2017,"Suffolk County",NY,us-ny-103,0.10364387134164
Metropolitan,2017,"Tioga County",NY,us-ny-107,0.1360103626943
Metropolitan,2017,"Tompkins County",NY,us-ny-109,0.01850421348315
Metropolitan,2017,"Ulster County",NY,us-ny-111,0.10088020118884
Metropolitan,2017,"Warren County",NY,us-ny-113,0.11688047240888
Metropolitan,2017,"Washington County",NY,us-ny-115,0.20586554941916
Metropolitan,2017,"Wayne County",NY,us-ny-117,0.15643722540274
Metropolitan,2017,"Westchester County",NY,us-ny-119,0.11851294226649
Metropolitan,2017,"Yates County",NY,us-ny-123,0.25804171085189
Nonmetropolitan,2011,"Allegany County",NY,us-ny-003,0.0839989693378
Nonmetropolitan,2011,"Cattaraugus County",NY,us-ny-009,0.16
Nonmetropolitan,2011,"Cayuga County",NY,us-ny-011,0.22098569157393
Nonmetropolitan,2011,"Chautauqua County",NY,us-ny-013,0.17197909862835
Nonmetropolitan,2011,"Chenango County",NY,us-ny-017,0.20500130242251
Nonmetropolitan,2011,"Clinton County",NY,us-ny-019,0.12198316183349
Nonmetropolitan,2011,"Columbia County",NY,us-ny-021,0.24004192872117
Nonmetropolitan,2011,"Cortland County",NY,us-ny-023,0.05395476983125
Nonmetropolitan,2011,"Delaware County",NY,us-ny-025,0.13595102385476
Nonmetropolitan,2011,"Essex County",NY,us-ny-031,0.25801177240026
Nonmetropolitan,2011,"Franklin County",NY,us-ny-033,0.1759846301633
Nonmetropolitan,2011,"Fulton County",NY,us-ny-035,0.22300683371298
Nonmetropolitan,2011,"Genesee County",NY,us-ny-037,0.14002959674436
Nonmetropolitan,2011,"Greene County",NY,us-ny-039,0.33598966185656
Nonmetropolitan,2011,"Hamilton County",NY,us-ny-041,0.29045643153527
Nonmetropolitan,2011,"Lewis County",NY,us-ny-049,0.23003629764065
Nonmetropolitan,2011,"Montgomery County",NY,us-ny-057,0.24090798144984
Nonmetropolitan,2011,"Otsego County",NY,us-ny-077,0.1
Nonmetropolitan,2011,"Schuyler County",NY,us-ny-097,0.2753120665742
Nonmetropolitan,2011,"Seneca County",NY,us-ny-099,0.22110867522706
Nonmetropolitan,2011,"St. Lawrence County",NY,us-ny-089,0.09802440441604
Nonmetropolitan,2011,"Steuben County",NY,us-ny-101,0.22596527597823
Nonmetropolitan,2011,"Sullivan County",NY,us-ny-105,0.20799752014879
Nonmetropolitan,2011,"Wyoming County",NY,us-ny-121,0.20094284030642
Nonmetropolitan,2017,"Allegany County",NY,us-ny-003,0.06940490714383
Nonmetropolitan,2017,"Cattaraugus County",NY,us-ny-009,0.16887915697277
Nonmetropolitan,2017,"Cayuga County",NY,us-ny-011,0.1963876146789
Nonmetropolitan,2017,"Chautauqua County",NY,us-ny-013,0.13040892193309
Nonmetropolitan,2017,"Chenango County",NY,us-ny-017,0.15761009528715
Nonmetropolitan,2017,"Clinton County",NY,us-ny-019,0.10422933993983
Nonmetropolitan,2017,"Columbia County",NY,us-ny-021,0.17712258922634
Nonmetropolitan,2017,"Cortland County",NY,us-ny-023,0.05168227540756
Nonmetropolitan,2017,"Delaware County",NY,us-ny-025,0.066925117323
Nonmetropolitan,2017,"Essex County",NY,us-ny-031,0.15899725274725
Nonmetropolitan,2017,"Franklin County",NY,us-ny-033,0.21544401544402
Nonmetropolitan,2017,"Fulton County",NY,us-ny-035,0.17351056254451
Nonmetropolitan,2017,"Genesee County",NY,us-ny-037,0.10548851693266
Nonmetropolitan,2017,"Greene County",NY,us-ny-039,0.24731423455685
Nonmetropolitan,2017,"Hamilton County",NY,us-ny-041,0.25906735751295
Nonmetropolitan,2017,"Lewis County",NY,us-ny-049,0.19346171070309
Nonmetropolitan,2017,"Montgomery County",NY,us-ny-057,0.17885375494071
Nonmetropolitan,2017,"Otsego County",NY,us-ny-077,0.09743060765191
Nonmetropolitan,2017,"Schuyler County",NY,us-ny-097,0.15022421524664
Nonmetropolitan,2017,"Seneca County",NY,us-ny-099,0.23048452220727
Nonmetropolitan,2017,"St. Lawrence County",NY,us-ny-089,0.09126189283926
Nonmetropolitan,2017,"Steuben County",NY,us-ny-101,0.18545594459407
Nonmetropolitan,2017,"Sullivan County",NY,us-ny-105,0.17952380952381
Nonmetropolitan,2017,"Wyoming County",NY,us-ny-121,0.15254730713246
