metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2009,"Albany County",NY,us-ny-001,54395
Metropolitan,2009,"Bronx County",NY,us-ny-005,32888
Metropolitan,2009,"Broome County",NY,us-ny-007,43065
Metropolitan,2009,"Chemung County",NY,us-ny-015,43223
Metropolitan,2009,"Dutchess County",NY,us-ny-027,68891
Metropolitan,2009,"Erie County",NY,us-ny-029,46739
Metropolitan,2009,"Herkimer County",NY,us-ny-043,40523
Metropolitan,2009,"Jefferson County",NY,us-ny-045,42926
Metropolitan,2009,"Kings County",NY,us-ny-047,42932
Metropolitan,2009,"Livingston County",NY,us-ny-051,50122
Metropolitan,2009,"Madison County",NY,us-ny-053,51389
Metropolitan,2009,"Monroe County",NY,us-ny-055,50283
Metropolitan,2009,"Nassau County",NY,us-ny-059,92221
Metropolitan,2009,"New York County",NY,us-ny-061,68295
Metropolitan,2009,"Niagara County",NY,us-ny-063,42580
Metropolitan,2009,"Oneida County",NY,us-ny-065,45663
Metropolitan,2009,"Onondaga County",NY,us-ny-067,49886
Metropolitan,2009,"Ontario County",NY,us-ny-069,52764
Metropolitan,2009,"Orange County",NY,us-ny-071,68057
Metropolitan,2009,"Orleans County",NY,us-ny-073,43360
Metropolitan,2009,"Oswego County",NY,us-ny-075,45928
Metropolitan,2009,"Putnam County",NY,us-ny-079,83768
Metropolitan,2009,"Queens County",NY,us-ny-081,54671
Metropolitan,2009,"Rensselaer County",NY,us-ny-083,54262
Metropolitan,2009,"Richmond County",NY,us-ny-085,65388
Metropolitan,2009,"Rockland County",NY,us-ny-087,78218
Metropolitan,2009,"Saratoga County",NY,us-ny-091,66634
Metropolitan,2009,"Schenectady County",NY,us-ny-093,52675
Metropolitan,2009,"Schoharie County",NY,us-ny-095,48640
Metropolitan,2009,"Suffolk County",NY,us-ny-103,82984
Metropolitan,2009,"Tioga County",NY,us-ny-107,48788
Metropolitan,2009,"Tompkins County",NY,us-ny-109,45535
Metropolitan,2009,"Ulster County",NY,us-ny-111,55285
Metropolitan,2009,"Warren County",NY,us-ny-113,50017
Metropolitan,2009,"Washington County",NY,us-ny-115,46140
Metropolitan,2009,"Wayne County",NY,us-ny-117,49849
Metropolitan,2009,"Westchester County",NY,us-ny-119,77057
Metropolitan,2009,"Yates County",NY,us-ny-123,43140
Metropolitan,2010,"Albany County",NY,us-ny-001,53783
Metropolitan,2010,"Bronx County",NY,us-ny-005,32674
Metropolitan,2010,"Broome County",NY,us-ny-007,43920
Metropolitan,2010,"Chemung County",NY,us-ny-015,46130
Metropolitan,2010,"Dutchess County",NY,us-ny-027,68831
Metropolitan,2010,"Erie County",NY,us-ny-029,46773
Metropolitan,2010,"Herkimer County",NY,us-ny-043,42876
Metropolitan,2010,"Jefferson County",NY,us-ny-045,43448
Metropolitan,2010,"Kings County",NY,us-ny-047,42047
Metropolitan,2010,"Livingston County",NY,us-ny-051,50094
Metropolitan,2010,"Madison County",NY,us-ny-053,50270
Metropolitan,2010,"Monroe County",NY,us-ny-055,49564
Metropolitan,2010,"Nassau County",NY,us-ny-059,90294
Metropolitan,2010,"New York County",NY,us-ny-061,63188
Metropolitan,2010,"Niagara County",NY,us-ny-063,44006
Metropolitan,2010,"Oneida County",NY,us-ny-065,46409
Metropolitan,2010,"Onondaga County",NY,us-ny-067,50298
Metropolitan,2010,"Ontario County",NY,us-ny-069,53137
Metropolitan,2010,"Orange County",NY,us-ny-071,65512
Metropolitan,2010,"Orleans County",NY,us-ny-073,44783
Metropolitan,2010,"Oswego County",NY,us-ny-075,44371
Metropolitan,2010,"Putnam County",NY,us-ny-079,82585
Metropolitan,2010,"Queens County",NY,us-ny-081,52486
Metropolitan,2010,"Rensselaer County",NY,us-ny-083,51720
Metropolitan,2010,"Richmond County",NY,us-ny-085,69163
Metropolitan,2010,"Rockland County",NY,us-ny-087,79798
Metropolitan,2010,"Saratoga County",NY,us-ny-091,65508
Metropolitan,2010,"Schenectady County",NY,us-ny-093,52062
Metropolitan,2010,"Schoharie County",NY,us-ny-095,47350
Metropolitan,2010,"Suffolk County",NY,us-ny-103,81235
Metropolitan,2010,"Tioga County",NY,us-ny-107,50043
Metropolitan,2010,"Tompkins County",NY,us-ny-109,50156
Metropolitan,2010,"Ulster County",NY,us-ny-111,51194
Metropolitan,2010,"Warren County",NY,us-ny-113,50269
Metropolitan,2010,"Washington County",NY,us-ny-115,46629
Metropolitan,2010,"Wayne County",NY,us-ny-117,50213
Metropolitan,2010,"Westchester County",NY,us-ny-119,76993
Metropolitan,2010,"Yates County",NY,us-ny-123,43820
Metropolitan,2011,"Albany County",NY,us-ny-001,56602
Metropolitan,2011,"Bronx County",NY,us-ny-005,32137
Metropolitan,2011,"Broome County",NY,us-ny-007,43756
Metropolitan,2011,"Chemung County",NY,us-ny-015,47994
Metropolitan,2011,"Dutchess County",NY,us-ny-027,67153
Metropolitan,2011,"Erie County",NY,us-ny-029,47505
Metropolitan,2011,"Herkimer County",NY,us-ny-043,40504
Metropolitan,2011,"Jefferson County",NY,us-ny-045,45292
Metropolitan,2011,"Kings County",NY,us-ny-047,42437
Metropolitan,2011,"Livingston County",NY,us-ny-051,50186
Metropolitan,2011,"Madison County",NY,us-ny-053,49326
Metropolitan,2011,"Monroe County",NY,us-ny-055,50247
Metropolitan,2011,"Nassau County",NY,us-ny-059,91162
Metropolitan,2011,"New York County",NY,us-ny-061,65833
Metropolitan,2011,"Niagara County",NY,us-ny-063,45291
