"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	40	87342	45.8	46.9
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	159	319342	49.8	49.4
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"NonCore (Nonmetro)"	"6"	Suppressed	40946	Suppressed	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Large Fringe Metro"	"2"	23	37744	60.9	63.7
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	65	88656	73.3	77.0
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"NonCore (Nonmetro)"	"6"	Suppressed	17188	Suppressed	Suppressed
	"Alabama"	"01"	"Butler County, AL"	"01013"	"NonCore (Nonmetro)"	"6"	Suppressed	29834	Suppressed	Suppressed
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	110	179498	61.3	62.7
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (Nonmetro)"	"5"	29	52385	55.4	55.2
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (Nonmetro)"	"6"	27	39382	68.6	72.6
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	31	68397	45.3	45.8
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"NonCore (Nonmetro)"	"6"	Suppressed	19575	Suppressed	Suppressed
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (Nonmetro)"	"6"	15	36833	Unreliable	Unreliable
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (Nonmetro)"	"6"	14	20515	Unreliable	Unreliable
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"NonCore (Nonmetro)"	"6"	10	22696	Unreliable	Unreliable
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (Nonmetro)"	"5"	27	79808	33.8	35.6
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	27	84185	32.1	32.0
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"NonCore (Nonmetro)"	"6"	10	18451	Unreliable	Unreliable
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"Micropolitan (Nonmetro)"	"5"	11	17507	Unreliable	Unreliable
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (Nonmetro)"	"6"	24	56548	42.4	44.6
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"NonCore (Nonmetro)"	"6"	Suppressed	21133	Suppressed	Suppressed
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (Nonmetro)"	"5"	100	127522	78.4	80.2
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (Nonmetro)"	"5"	27	76700	35.2	34.5
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (Nonmetro)"	"5"	17	59504	Unreliable	Unreliable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (Nonmetro)"	"6"	96	108657	88.4	88.8
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	54	132271	40.8	41.1
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (Nonmetro)"	"6"	54	59382	90.9	85.5
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	102	159590	63.9	64.4
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"NonCore (Nonmetro)"	"6"	19	24881	Unreliable	Unreliable
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (Nonmetro)"	"6"	26	48227	53.9	56.5
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Small Metro"	"4"	26	40562	64.1	65.5
	"Alabama"	"01"	"Greene County, AL"	"01063"	"NonCore (Nonmetro)"	"6"	Suppressed	12420	Suppressed	Suppressed
	"Alabama"	"01"	"Hale County, AL"	"01065"	"Small Metro"	"4"	Suppressed	22091	Suppressed	Suppressed
	"Alabama"	"01"	"Henry County, AL"	"01067"	"Small Metro"	"4"	12	25786	Unreliable	Unreliable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	64	162223	39.5	39.5
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (Nonmetro)"	"5"	38	81163	46.8	41.9
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	851	1050045	81.0	82.2
	"Alabama"	"01"	"Lamar County, AL"	"01075"	"NonCore (Nonmetro)"	"6"	Suppressed	20997	Suppressed	Suppressed
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	65	136790	47.5	46.1
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Small Metro"	"4"	29	52456	55.3	60.1
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	82	232505	35.3	35.5
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	44	152712	28.8	30.8
	"Alabama"	"01"	"Lowndes County, AL"	"01085"	"Medium Metro"	"3"	11	15714	Unreliable	Unreliable
	"Alabama"	"01"	"Macon County, AL"	"01087"	"NonCore (Nonmetro)"	"6"	Suppressed	25946	Suppressed	Suppressed
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	301	577638	52.1	54.5
	"Alabama"	"01"	"Marengo County, AL"	"01091"	"NonCore (Nonmetro)"	"6"	Suppressed	29081	Suppressed	Suppressed
	"Alabama"	"01"	"Marion County, AL"	"01093"	"NonCore (Nonmetro)"	"6"	14	45727	Unreliable	Unreliable
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (Nonmetro)"	"5"	82	143779	57.0	56.4
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	341	642802	53.0	54.2
	"Alabama"	"01"	"Monroe County, AL"	"01099"	"NonCore (Nonmetro)"	"6"	17	32275	Unreliable	Unreliable
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	87	354685	24.5	24.9
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	102	187242	54.5	55.0
	"Alabama"	"01"	"Perry County, AL"	"01105"	"NonCore (Nonmetro)"	"6"	Suppressed	12774	Suppressed	Suppressed
	"Alabama"	"01"	"Pickens County, AL"	"01107"	"Small Metro"	"4"	11	32676	Unreliable	Unreliable
	"Alabama"	"01"	"Pike County, AL"	"01109"	"Micropolitan (Nonmetro)"	"5"	16	42950	Unreliable	Unreliable
	"Alabama"	"01"	"Randolph County, AL"	"01111"	"NonCore (Nonmetro)"	"6"	18	33767	Unreliable	Unreliable
	"Alabama"	"01"	"Russell County, AL"	"01113"	"Medium Metro"	"3"	48	92600	51.8	50.7
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Large Fringe Metro"	"2"	98	141593	69.2	70.9
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	173	340619	50.8	54.1
	"Alabama"	"01"	"Sumter County, AL"	"01119"	"NonCore (Nonmetro)"	"6"	Suppressed	17050	Suppressed	Suppressed
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"Micropolitan (Nonmetro)"	"5"	68	127421	53.4	54.5
	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	"NonCore (Nonmetro)"	"6"	25	61736	40.5	38.1
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	145	304828	47.6	48.5
	"Alabama"	"01"	"Walker County, AL"	"01127"	"Large Fringe Metro"	"2"	65	99377	65.4	68.6
	"Alabama"	"01"	"Washington County, AL"	"01129"	"NonCore (Nonmetro)"	"6"	10	25490	Unreliable	Unreliable
	"Alabama"	"01"	"Wilcox County, AL"	"01131"	"NonCore (Nonmetro)"	"6"	Suppressed	15579	Suppressed	Suppressed
	"Alabama"	"01"	"Winston County, AL"	"01133"	"NonCore (Nonmetro)"	"6"	12	36447	Unreliable	Unreliable
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"NonCore (Nonmetro)"	"6"	Suppressed	7279	Suppressed	Suppressed
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"NonCore (Nonmetro)"	"6"	Suppressed	12536	Suppressed	Suppressed
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Medium Metro"	"3"	384	488074	78.7	78.6
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"NonCore (Nonmetro)"	"6"	31	25036	123.8	108.7
	"Alaska"	"02"	"Bristol Bay Borough, AK"	"02060"	"NonCore (Nonmetro)"	"6"	Suppressed	1590	Suppressed	Suppressed
	"Alaska"	"02"	"Denali Borough, AK"	"02068"	"NonCore (Nonmetro)"	"6"	Suppressed	3879	Suppressed	Suppressed
	"Alaska"	"02"	"Dillingham Census Area, AK"	"02070"	"NonCore (Nonmetro)"	"6"	Suppressed	7314	Suppressed	Suppressed
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Small Metro"	"4"	91	158258	57.5	58.0
	"Alaska"	"02"	"Haines Borough, AK"	"02100"	"NonCore (Nonmetro)"	"6"	Suppressed	4246	Suppressed	Suppressed
	"Alaska"	"02"	"Hoonah-Angoon Census Area, AK"	"02105"	"NonCore (Nonmetro)"	"6"	Suppressed	3541	Suppressed	Suppressed
	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	"Micropolitan (Nonmetro)"	"5"	53	55681	95.2	97.8
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"NonCore (Nonmetro)"	"6"	76	93526	81.3	80.8
	"Alaska"	"02"	"Ketchikan Gateway Borough, AK"	"02130"	"Micropolitan (Nonmetro)"	"5"	15	22867	Unreliable	Unreliable
	"Alaska"	"02"	"Kodiak Island Borough, AK"	"02150"	"NonCore (Nonmetro)"	"6"	12	22421	Unreliable	Unreliable
	"Alaska"	"02"	"Lake and Peninsula Borough, AK"	"02164"	"NonCore (Nonmetro)"	"6"	Suppressed	2481	Suppressed	Suppressed
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Medium Metro"	"3"	96	167058	57.5	61.0
	"Alaska"	"02"	"Nome Census Area, AK"	"02180"	"NonCore (Nonmetro)"	"6"	17	13999	Unreliable	Unreliable
	"Alaska"	"02"	"North Slope Borough, AK"	"02185"	"NonCore (Nonmetro)"	"6"	Suppressed	17563	Suppressed	Suppressed
	"Alaska"	"02"	"Northwest Arctic Borough, AK"	"02188"	"NonCore (Nonmetro)"	"6"	11	10755	Unreliable	Unreliable
	"Alaska"	"02"	"Petersburg Borough/Census Area, AK"	"02195"	"NonCore (Nonmetro)"	"6"	Suppressed	5213	Suppressed	Suppressed
	"Alaska"	"02"	"Prince of Wales-Hyder Census Area, AK"	"02198"	"NonCore (Nonmetro)"	"6"	Suppressed	10614	Suppressed	Suppressed
	"Alaska"	"02"	"Sitka Borough, AK"	"02220"	"NonCore (Nonmetro)"	"6"	Suppressed	14593	Suppressed	Suppressed
	"Alaska"	"02"	"Skagway Municipality, AK"	"02230"	"NonCore (Nonmetro)"	"6"	Suppressed	2230	Suppressed	Suppressed
	"Alaska"	"02"	"Southeast Fairbanks Census Area, AK"	"02240"	"NonCore (Nonmetro)"	"6"	Suppressed	11037	Suppressed	Suppressed
	"Alaska"	"02"	"Valdez-Cordova Census Area, AK"	"02261"	"NonCore (Nonmetro)"	"6"	11	15948	Unreliable	Unreliable
	"Alaska"	"02"	"Wade Hampton Census Area, AK"	"02270"	"NonCore (Nonmetro)"	"6"	22	10202	215.6	214.8
	"Alaska"	"02"	"Wrangell City and Borough, AK"	"02275"	"NonCore (Nonmetro)"	"6"	Suppressed	3817	Suppressed	Suppressed
	"Alaska"	"02"	"Yakutat Borough, AK"	"02282"	"NonCore (Nonmetro)"	"6"	Suppressed	1007	Suppressed	Suppressed
	"Alaska"	"02"	"Yukon-Koyukuk Census Area, AK"	"02290"	"NonCore (Nonmetro)"	"6"	15	8106	Unreliable	Unreliable
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"NonCore (Nonmetro)"	"6"	139	102413	135.7	140.0
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"Small Metro"	"4"	129	181297	71.2	70.3
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"Small Metro"	"4"	189	197831	95.5	98.7
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"Micropolitan (Nonmetro)"	"5"	88	72123	122.0	127.0
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"Micropolitan (Nonmetro)"	"5"	39	54914	71.0	70.1
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"NonCore (Nonmetro)"	"6"	10	14474	Unreliable	Unreliable
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"NonCore (Nonmetro)"	"6"	34	23619	144.0	134.4
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Large Central Metro"	"1"	3903	6563035	59.5	59.0
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Small Metro"	"4"	295	289745	101.8	103.9
