"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	23	82425	27.9	27.9
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	144	272843	52.8	53.3
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"NonCore (Nonmetro)"	"6"	Suppressed	45508	Suppressed	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Large Fringe Metro"	"2"	22	37026	59.4	61.9
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	47	89635	52.4	53.5
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"NonCore (Nonmetro)"	"6"	Suppressed	17614	Suppressed	Suppressed
	"Alabama"	"01"	"Butler County, AL"	"01013"	"NonCore (Nonmetro)"	"6"	Suppressed	31645	Suppressed	Suppressed
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	73	182612	40.0	41.3
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (Nonmetro)"	"5"	10	54716	Unreliable	Unreliable
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (Nonmetro)"	"6"	26	41726	62.3	69.5
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	29	68503	42.3	44.1
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"NonCore (Nonmetro)"	"6"	Suppressed	22209	Suppressed	Suppressed
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (Nonmetro)"	"6"	10	40583	Unreliable	Unreliable
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (Nonmetro)"	"6"	Suppressed	21845	Suppressed	Suppressed
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"NonCore (Nonmetro)"	"6"	Suppressed	23474	Suppressed	Suppressed
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (Nonmetro)"	"5"	18	74748	Unreliable	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	28	86066	32.5	32.7
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"NonCore (Nonmetro)"	"6"	Suppressed	20637	Suppressed	Suppressed
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"Micropolitan (Nonmetro)"	"5"	Suppressed	18845	Suppressed	Suppressed
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (Nonmetro)"	"6"	17	57852	Unreliable	Unreliable
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"NonCore (Nonmetro)"	"6"	Suppressed	21589	Suppressed	Suppressed
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (Nonmetro)"	"5"	48	125726	38.2	37.8
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (Nonmetro)"	"5"	27	77114	35.0	35.3
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (Nonmetro)"	"5"	15	66250	Unreliable	Unreliable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (Nonmetro)"	"6"	40	109133	36.7	36.6
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	36	126752	28.4	28.3
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (Nonmetro)"	"6"	26	60574	42.9	42.7
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	61	163883	37.2	39.2
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"NonCore (Nonmetro)"	"6"	19	27180	Unreliable	Unreliable
