metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2015,"Albany County",NY,us-ny-001,0.49507896017146
Metropolitan,2015,"Bronx County",NY,us-ny-005,0.01168139957317
Metropolitan,2015,"Broome County",NY,us-ny-007,0.24604685942173
Metropolitan,2015,"Chemung County",NY,us-ny-015,0.34774287965777
Metropolitan,2015,"Dutchess County",NY,us-ny-027,0.51491152584306
Metropolitan,2015,"Erie County",NY,us-ny-029,0.38371779247911
Metropolitan,2015,"Herkimer County",NY,us-ny-043,0.40121514592601
Metropolitan,2015,"Jefferson County",NY,us-ny-045,0.26255065431175
Metropolitan,2015,"Kings County",NY,us-ny-047,0
Metropolitan,2015,"Livingston County",NY,us-ny-051,0.29035217836772
Metropolitan,2015,"Madison County",NY,us-ny-053,0.30824323956319
Metropolitan,2015,"Monroe County",NY,us-ny-055,0.52416893264405
Metropolitan,2015,"Nassau County",NY,us-ny-059,0.14270282456858
Metropolitan,2015,"New York County",NY,us-ny-061,1.26113503E-6
Metropolitan,2015,"Niagara County",NY,us-ny-063,0.34733379837298
Metropolitan,2015,"Oneida County",NY,us-ny-065,0.2881666226722
Metropolitan,2015,"Onondaga County",NY,us-ny-067,0.39820052845024
Metropolitan,2015,"Ontario County",NY,us-ny-069,0.14828918475693
Metropolitan,2015,"Orange County",NY,us-ny-071,0.4920563392371
Metropolitan,2015,"Orleans County",NY,us-ny-073,0.22577711447427
Metropolitan,2015,"Oswego County",NY,us-ny-075,0.15587712617416
Metropolitan,2015,"Putnam County",NY,us-ny-079,0.85069702136195
Metropolitan,2015,"Queens County",NY,us-ny-081,0.00537538967204
Metropolitan,2015,"Rensselaer County",NY,us-ny-083,0.42312251848785
Metropolitan,2015,"Richmond County",NY,us-ny-085,0.02444690973482
Metropolitan,2015,"Rockland County",NY,us-ny-087,0.47824580428443
Metropolitan,2015,"Saratoga County",NY,us-ny-091,0.39914938959141
Metropolitan,2015,"Schenectady County",NY,us-ny-093,0.444996671557
Metropolitan,2015,"Schoharie County",NY,us-ny-095,0.55430700174051
Metropolitan,2015,"Suffolk County",NY,us-ny-103,0.54286202162922
Metropolitan,2015,"Tioga County",NY,us-ny-107,0.16168215158924
Metropolitan,2015,"Tompkins County",NY,us-ny-109,0.38255681146863
Metropolitan,2015,"Ulster County",NY,us-ny-111,0.37990498265687
Metropolitan,2015,"Warren County",NY,us-ny-113,0.45558311899798
Metropolitan,2015,"Washington County",NY,us-ny-115,0.14372943558593
Metropolitan,2015,"Wayne County",NY,us-ny-117,0.19963315275349
Metropolitan,2015,"Westchester County",NY,us-ny-119,0.27816498140896
Metropolitan,2015,"Yates County",NY,us-ny-123,0
Nonmetropolitan,2015,"Allegany County",NY,us-ny-003,0
Nonmetropolitan,2015,"Cattaraugus County",NY,us-ny-009,0.13755493855597
Nonmetropolitan,2015,"Cayuga County",NY,us-ny-011,0.09853047759478
Nonmetropolitan,2015,"Chautauqua County",NY,us-ny-013,0.26660242392795
Nonmetropolitan,2015,"Chenango County",NY,us-ny-017,0.09156645600967
Nonmetropolitan,2015,"Clinton County",NY,us-ny-019,0.34266023767777
Nonmetropolitan,2015,"Columbia County",NY,us-ny-021,0.25355014580956
Nonmetropolitan,2015,"Cortland County",NY,us-ny-023,0.35436598021729
Nonmetropolitan,2015,"Delaware County",NY,us-ny-025,0.23791162984577
Nonmetropolitan,2015,"Essex County",NY,us-ny-031,0.03771907543815
Nonmetropolitan,2015,"Franklin County",NY,us-ny-033,0.44326440434892
Nonmetropolitan,2015,"Fulton County",NY,us-ny-035,0.21283607354451
Nonmetropolitan,2015,"Genesee County",NY,us-ny-037,0.11333411008838
Nonmetropolitan,2015,"Greene County",NY,us-ny-039,0.1170638548587
Nonmetropolitan,2015,"Hamilton County",NY,us-ny-041,0.49545078577337
Nonmetropolitan,2015,"Lewis County",NY,us-ny-049,0.51522870749806
Nonmetropolitan,2015,"Montgomery County",NY,us-ny-057,0.20060136601685
Nonmetropolitan,2015,"Otsego County",NY,us-ny-077,0.58760982347934
Nonmetropolitan,2015,"Schuyler County",NY,us-ny-097,0
Nonmetropolitan,2015,"Seneca County",NY,us-ny-099,0.26580806218263
Nonmetropolitan,2015,"St. Lawrence County",NY,us-ny-089,0.45071642964339
Nonmetropolitan,2015,"Steuben County",NY,us-ny-101,0.26708758460451
Nonmetropolitan,2015,"Sullivan County",NY,us-ny-105,0.14399009632868
Nonmetropolitan,2015,"Wyoming County",NY,us-ny-121,0.44092041276242
