period,death_rate,death_cause
2000-2002,28.92945319,Despair
2003-2005,33.66559507,Despair
2006-2008,37.82144474,Despair
2009-2011,40.08148597,Despair
2012-2014,43.90006252,Despair
2015-2017,55.0846416,Despair
2000-2002,96.830591,Cardiovascular
2003-2005,95.807343,Cardiovascular
2006-2008,92.915303,Cardiovascular
2009-2011,90.702418,Cardiovascular
2012-2014,91.232679,Cardiovascular
2015-2017,93.598232,Cardiovascular
2000-2002,107.63710,Cancer
2003-2005,107.63820,Cancer
2006-2008,106.62831,Cancer
2009-2011,106.94910,Cancer
2012-2014,105.21969,Cancer
2015-2017,101.16970,Cancer
2000-2002,6.750937,Assault
2003-2005,6.729051,Assault
2006-2008,6.687417,Assault
2009-2011,5.934990,Assault
2012-2014,5.915201,Assault
2015-2017,6.999898,Assault
